Dataset,BOOSTING Jaccard,BOOSTING FPS,BOOSTING kbps,KCF Jaccard,KCF FPS,KCF kbps,MEDIANFLOW Jaccard,MEDIANFLOW FPS,MEDIANFLOW kbps,MIL Jaccard,MIL FPS,MIL kbps,TLD Jaccard,TLD FPS,TLD kbps,Attributes
Freeman4,0.1124106541,7.906084907,56.7724182154,0.2367625467,104.8642899907,753.0148483372,0.1356253485,24.1038352193,173.0860507772,0.0498231495,1.2102921078,8.6909273697,0.001112012,1.1318033391,8.1273112117,"SV ,OCC ,IPR ,OPR"
Walking2,0.4766370704,3.9182816091,20.3939476523,0.3197132241,8.3504643613,43.4626578804,0.2612302149,21.5023873479,111.9160401722,0.5236339106,1.1704510687,6.0919862854,0.5168202846,0.9073030054,4.7223481728,"SV ,OCC ,LR"
Singer2,0.0434281768,2.1023972887,29.6524417602,0.1825391738,6.2217186664,87.7518019035,0.0252982408,12.7192050448,179.3930618374,0.7274141133,1.1424763293,16.1136113519,0.0222220242,0.6743270254,9.5107822647,"IV ,DEF ,IPR ,OPR ,BC"
Trellis,0.2888462421,2.8978420281,9.1833022016,0.5121456922,8.7076351703,27.5946184975,0.334870101,26.7776935213,84.8588879196,0.3137595117,1.2326244869,3.9062043598,0.288957627,1.4176152805,4.4924427903,"IV ,SV ,IPR ,OPR ,BC"
David3,0.3891661705,2.9617615463,84.9588969447,0.6163074027,4.2385086853,121.582719259,0.1114547191,10.0024173173,286.9219310133,0.2918265897,1.2028445001,34.5039059787,0.1039409875,0.9258626341,26.5586094231,"OCC ,DEF ,OPR ,BC"
Human8,0.4655713026,4.3069925245,61.0439885355,0.206917723,8.5812961933,121.6246704563,0.0854794809,26.1888284644,371.1802459523,0.2890879217,1.1684125572,16.5601779755,0.0854794809,9.1827039216,130.1485595194,"IV ,SV ,DEF"
Deer,0.3142572721,2.6387691966,248.7982385386,0.0214822464,4.597332457,433.4627745125,0.0874543961,11.0475648169,1041.6275398746,0.4300240981,1.1469860868,108.1444024678,0.5925968212,0.841865429,79.3758833048,"MB ,FM ,IPR ,BC ,LR"
Dudek,0.6593130264,1.6012168419,11.3372870802,0.7308050272,4.7231069664,33.4415790456,0.1442632651,9.2044131685,65.1711072248,0.3816073388,1.1403325866,8.0740331746,0.5305081682,0.5069926285,3.5897205337,"SV ,OCC ,DEF ,FM ,IPR ,OPR"
Girl,0.6193744325,6.0767823413,3.5142837636,0.4705460512,14.5451979467,8.4116807403,0.1607663127,56.2940793663,32.5556121636,0.3520721906,1.2902345859,0.7461597605,0.4912033961,1.0945911637,0.6330165766,"SV ,OCC ,IPR ,OPR"
Coke,0.4511487297,3.3238385783,82.5228888407,0.4998538826,8.8087271766,218.6994333498,0.1172822645,9.8994380942,245.7791526846,0.5253154111,1.1431384247,28.3813677866,0.0397226869,0.6369350733,15.8135604417,"IV ,OCC ,FM ,IPR ,OPR ,BC"
Average,0.3445718023,4.245022389,56.2131735772,0.3798737773,14.3645641417,193.46734847,0.2350142809,19.142020317,210.6856389877,0.3354379879,1.2109996059,16.9243233219,0.2694478875,1.3296648015,18.6345184829,
Standard deviation,0.2257670875,1.8312600022,68.2286290037,0.2313330938,18.7777665821,362.0346106981,0.2290927138,8.816670664,192.0250282943,0.206020805,0.1022306268,19.3778106232,0.2088382853,2.0108816833,39.3718015013,
,BOOSTING Jaccard,BOOSTING FPS,BOOSTING kbps,KCF Jaccard,KCF FPS,KCF kbps,MEDIANFLOW Jaccard,MEDIANFLOW FPS,MEDIANFLOW kbps,MIL Jaccard,MIL FPS,MIL kbps,TLD Jaccard,TLD FPS,TLD kbps,
